transaction_id,user_id,Amount,Timestamp,FraudStatus,RiskScore,Location
txn_95d26084b4,user_4f98a4d4,55.57,2025-03-02T20:13:42.434048,Legitimate,42,"Morgantown, MD 21170"
txn_c095249787,user_f8723205,156.49,2025-03-07T13:22:51.706820,Legitimate,14,"East Hayleyville, MI 27908"
txn_6b92226ed1,user_fb2e6c9d,3072.89,2025-03-06T09:59:49.449110,Fraudulent,94,"East Tyler, MH"
txn_ab2df4c461,user_0c9ba5cc,439.69,2025-03-13T14:59:01.130337,Legitimate,10,"West Elizabethside, MT 33435"
txn_a5dff6c58d,user_773ddb25,316.25,2025-03-13T04:40:43.993922,Legitimate,37,"Bellville, IN 50909"
txn_d19fd7d833,user_ac35853f,687.22,2025-03-14T10:42:41.779085,Legitimate,54,"Bradleytown, TN 11602"
txn_b7793c309d,user_ee31df6d,1366.81,2025-03-09T07:33:02.017513,Fraudulent,81,"Mindyfort, WY"
txn_328588741e,user_a1ba7f0c,169.63,2025-03-10T12:12:39.851330,Legitimate,27,"North Linda, MT 93425"
txn_4a54899bc0,user_7dde70f5,138.51,2025-03-07T13:03:02.310592,Legitimate,11,"Angelaborough, NC 17006"
txn_c44add3b68,user_cd5ef941,785.36,2025-03-07T15:03:11.039110,Legitimate,65,"Port Stephaniefort, ND 32161"
txn_57040b6ecb,user_7dde70f5,134.99,2025-03-09T13:47:34.355901,Legitimate,46,"Angelaborough, NC 17006"
txn_7f07014c68,user_9843f207,61.29,2025-03-09T15:14:35.093436,Legitimate,13,"West Michaelfurt, KY 11378"
txn_d7d44ac5b3,user_3574f86d,172.62,2025-03-13T23:51:43.856104,Legitimate,51,"West Davidside, TN 62775"
txn_3b8e95003c,user_ac51c1ad,529.15,2025-03-14T07:14:12.955991,Legitimate,20,"Lake Jamie, NC 12996"
txn_395d540f10,user_f8723205,408.89,2025-03-09T16:15:49.912897,Legitimate,54,"East Hayleyville, MI 27908"
txn_4d752e079d,user_c56bf3e8,258.73,2025-03-01T13:57:49.086610,Legitimate,47,"Perezfort, MS 04591"
txn_d75c641fd0,user_18478c65,595.82,2025-03-13T13:24:14.588602,Legitimate,44,"North Andrew, KY 42634"
txn_3e1af8f239,user_4bbb6878,213.43,2025-03-02T11:15:40.851974,Legitimate,35,"South Becky, GU 25513"
txn_fb2796ad3e,user_f0de8434,405.51,2025-03-04T10:07:55.524256,Legitimate,61,"Pattersonville, OK 73808"
txn_1c4681d725,user_9e277382,2934.64,2025-03-02T16:31:50.705759,Fraudulent,80,"East Tonyfurt, CT 77118"
txn_e8e4b3119c,user_c2799675,85.88,2025-03-13T03:48:22.632514,Legitimate,67,"West Sherryview, LA 10719"
txn_22e0dbf4e5,user_1effbdca,124.9,2025-03-13T13:16:48.411589,Legitimate,41,"New Teresafurt, NC 91392"
txn_446956b22e,user_d8f80281,214.95,2025-03-05T13:09:02.085757,Legitimate,2,"Robinsonton, NV 28691"
txn_ccff86e389,user_5d478820,112.86,2025-03-03T20:06:40.594183,Legitimate,13,FPO AP 24527
txn_19b181cc1b,user_dd305fbb,86.38,2025-03-14T04:19:29.180898,Legitimate,51,"Sparksville, GA 53472"
txn_c38e11f8dd,user_5d478820,121.09,2025-03-12T15:54:21.639693,Legitimate,15,FPO AP 24527
txn_6f2cc7a984,user_33d6aa45,547.15,2025-03-13T02:59:54.654917,Legitimate,52,"Luismouth, GU 29277"
txn_f89b46628b,user_64e2a309,296.06,2025-03-11T12:19:39.397198,Legitimate,37,"Griffithton, VT 02544"
txn_15df506aaa,user_4bbb6878,436.74,2025-03-06T06:32:29.672641,Legitimate,12,"South Becky, GU 25513"
txn_0f3dc3938e,user_fb2e6c9d,856.98,2025-03-10T14:03:24.123640,Legitimate,45,"Garciabury, GU 73869"
txn_66ab10b697,user_7e98129d,507.72,2025-03-11T08:01:31.432435,Legitimate,33,"Brewerhaven, DC 84558"
txn_4eedeeb83e,user_35533990,621.05,2025-03-10T21:46:28.129020,Legitimate,53,"Lake Cindyburgh, WI 52110"
txn_4df5e67685,user_e200ac49,813.06,2025-03-05T07:19:48.605343,Legitimate,44,APO AE 21272
txn_238214a7e0,user_33d6aa45,409.32,2025-03-03T10:42:41.039034,Legitimate,18,"Luismouth, GU 29277"
txn_29eb2edf91,user_a4ccf4d8,686.73,2025-03-10T13:22:08.669312,Legitimate,54,"Chelseaberg, CT 01017"
txn_5c7716092a,user_a1ba7f0c,192.34,2025-03-02T09:31:47.994812,Legitimate,5,"North Linda, MT 93425"
txn_14c8f23478,user_35533990,2090.4,2025-03-11T23:36:22.652592,Fraudulent,93,"Matthewview, CO"
txn_6c83b685b0,user_db5646e6,132.9,2025-03-06T20:17:13.240485,Legitimate,9,"East Teresa, ID 86783"
txn_b524dae8b9,user_ee31df6d,76.36,2025-03-13T02:48:39.678301,Legitimate,65,FPO AA 83595
txn_a1ce61ac99,user_e200ac49,881.02,2025-03-04T00:51:03.125695,Legitimate,39,APO AE 21272
txn_d1f6f6785d,user_2f2a43ac,205.63,2025-03-03T16:41:29.042207,Legitimate,34,"Rachelfort, RI 87928"
txn_ccddd52378,user_39307a8d,39.48,2025-03-13T22:18:27.410867,Legitimate,2,"Garciamouth, PA 61347"
txn_3304f69ae9,user_e81a635b,117.24,2025-03-12T01:56:13.967388,Legitimate,65,"Donaldmouth, LA 64407"
txn_dd553b7a08,user_ac51c1ad,472.49,2025-03-08T17:24:11.124533,Legitimate,29,"Lake Jamie, NC 12996"
txn_82a9e4cd42,user_e81a635b,105.74,2025-03-13T07:37:38.597483,Legitimate,35,"Donaldmouth, LA 64407"
txn_3762292ab0,user_b435372d,719.01,2025-03-12T08:43:28.825760,Legitimate,30,"Grantshire, VA 51014"
txn_932e9aa026,user_33d6aa45,386.69,2025-03-06T07:20:29.169905,Legitimate,23,"Luismouth, GU 29277"
txn_6b119352e1,user_97cca8c8,138.88,2025-03-06T05:56:05.672079,Legitimate,30,"Patrickland, AR 16503"
txn_134b81dbfa,user_b9127240,322.22,2025-03-08T07:24:08.201895,Legitimate,12,"Taylorton, WI 98162"
txn_6504050896,user_dc1f0afd,316.42,2025-03-09T04:42:12.394805,Legitimate,41,"Lake Pamelaborough, OH 68469"
txn_cbda972dd7,user_52a4e890,643.31,2025-03-06T15:51:35.565588,Legitimate,10,"Troyland, MI 56044"
txn_4c8c34588a,user_187e4ced,163.71,2025-03-06T16:02:20.656159,Legitimate,5,"Lake Lisachester, SD 69825"
txn_581ca4647e,user_773ddb25,199.21,2025-03-13T20:58:26.279726,Legitimate,16,"Bellville, IN 50909"
txn_c87cfc6cc5,user_d56717a1,142.0,2025-03-02T02:59:01.668985,Legitimate,64,"Wallaceland, VT 02896"
txn_4922e44d31,user_851fbd38,3368.95,2025-03-03T21:15:54.787900,Fraudulent,87,"New Haroldshire, FM 14042"
txn_1c5fcbdef8,user_d9dff529,180.92,2025-03-09T16:48:30.121627,Legitimate,26,"Smithmouth, FM 43101"
txn_9dba911552,user_7dde70f5,98.15,2025-03-13T05:38:21.325107,Legitimate,45,"Angelaborough, NC 17006"
txn_7d3f94466f,user_dd305fbb,51.69,2025-03-13T00:55:46.619113,Legitimate,68,"Sparksville, GA 53472"
txn_6218573a6a,user_b435372d,781.05,2025-03-06T16:06:20.530279,Legitimate,8,"Grantshire, VA 51014"
txn_4116a085e6,user_3574f86d,175.31,2025-03-03T05:54:23.914044,Legitimate,66,"West Davidside, TN 62775"
txn_57d1c49b9b,user_c1227da3,190.97,2025-03-05T21:23:25.169491,Legitimate,66,"West Michael, PW 83267"
txn_92871cfdc0,user_bcfc3c6e,199.3,2025-03-09T14:35:56.491282,Legitimate,28,"Randolphville, MT 47354"
txn_49fe57fb94,user_5fab2704,788.48,2025-03-10T04:49:47.943722,Legitimate,51,"Cynthiamouth, WA 80057"
txn_425f875c57,user_18478c65,2621.78,2025-03-12T14:13:18.343806,Fraudulent,100,"Port Gregoryshire, CT"
txn_49cd977600,user_b435372d,349.94,2025-03-02T23:15:02.579904,Legitimate,33,"Grantshire, VA 51014"
txn_2401407c37,user_35533990,556.33,2025-03-13T01:49:57.693282,Legitimate,29,"Lake Cindyburgh, WI 52110"
txn_5539b9c83a,user_4c3ba68e,455.28,2025-03-10T17:08:58.495877,Legitimate,58,"North Michael, IA 10547"
txn_f624d255a8,user_9cae07e1,4710.43,2025-03-06T19:14:13.746861,Fraudulent,93,"West Jeffrey, CT 31138"
txn_6fa6d1056b,user_c56bf3e8,342.36,2025-03-02T03:47:40.471647,Legitimate,20,"Perezfort, MS 04591"
txn_4bf5d99896,user_f8723205,137.68,2025-03-09T03:17:15.366384,Legitimate,16,"East Hayleyville, MI 27908"
txn_6fd1b3e83a,user_c71ff956,823.52,2025-03-13T17:47:08.544115,Legitimate,45,"Mitchellton, NE 39399"
txn_9c69d11124,user_18478c65,629.55,2025-03-12T10:23:12.541027,Legitimate,13,"North Andrew, KY 42634"
txn_02e3da01d1,user_f0de8434,4293.94,2025-03-05T10:26:50.938163,Fraudulent,76,"Wayneton, DE"
txn_82c476c9c8,user_d56717a1,60.04,2025-03-04T04:15:20.954690,Legitimate,66,"Wallaceland, VT 02896"
txn_4254112422,user_018e5a70,279.82,2025-03-09T18:20:36.777442,Legitimate,65,"Jeffreyton, OH 50246"
txn_a752fb3500,user_a7341d7d,64.65,2025-03-05T11:17:34.345266,Legitimate,4,"Kentside, FL 58210"
txn_4664e0626d,user_b178012e,156.53,2025-03-12T04:07:01.512459,Legitimate,2,"Stephenborough, NV 59616"
txn_4017340b04,user_4c3ba68e,127.16,2025-03-07T19:08:07.418609,Legitimate,49,"North Michael, IA 10547"
txn_5a5f56f35e,user_4c3ba68e,463.34,2025-03-08T06:26:34.072541,Legitimate,60,"North Michael, IA 10547"
